group,team_1,score_1,team_2,score_2
A,south_africa,1,mexico,1
A,uruguay,0,france,0
A,south_africa,0,uruguay,3
A,france,0,mexico,2
A,mexico,0,uruguay,1
A,france,1,south_africa,2
B,south_korea,2,greece,0
B,argentina,1,nigeria,0
B,argentina,4,south_korea,1
B,greece,2,nigeria,1
B,nigeria,2,south_korea,2
B,greece,0,argentina,2
C,england,1,united_states,1
C,algeria,0,slovenia,1
C,slovenia,2,united_states,2
C,england,0,algeria,0
C,slovenia,0,england,1
C,united_states,1,algeria,0
D,serbia,0,ghana,1
D,germany,4,australia,0
D,germany,0,serbia,1
D,ghana,1,australia,1
D,ghana,0,germany,1
D,australia,2,serbia,1
E,netherlands,2,denmark,0
E,japan,1,cameroon,0
E,netherlands,1,japan,0
E,cameroon,1,denmark,2
E,denmark,1,japan,3
E,cameroon,1,netherlands,2
F,italy,1,paraguay,1
F,new_zealand,1,slovakia,1
F,slovakia,0,paraguay,2
F,italy,1,new_zealand,1
F,slovakia,3,italy,2
F,paraguay,0,new_zealand,0
G,ivory_coast,0,portugal,0
G,brazil,2,north_korea,1
G,brazil,3,ivory_coast,1
G,portugal,7,north_korea,0
G,portugal,0,brazil,0
G,north_korea,0,ivory_coast,3
H,honduras,0,chile,1
H,spain,0,switzerland,1
H,chile,1,switzerland,0
H,spain,2,honduras,0
H,chile,1,spain,2
H,switzerland,0,honduras,0
