stage,team_1,match_num,team_2
32,runner-up group A,73,runner-up group B
32,winner group C,76,runner-up group F
32,winner group E,74,3rd group A/B/C/D/F
32,winner group F,75,runner-up group C
32,runner-up group E,78,runner-up group I
32,winner group I,77,3rd group C/D/F/G/H
32,winner group A,79,3rd group C/E/F/H/I
32,winner group L,80,3rd group E/H/I/J/K
32,winner group G,82,3rd group A/E/H/I/J
32,winner group D,81,3rd group B/E/F/I/J
32,winner group H,84,runner-up group J
32,runner-up group K,83,runner-up group L
32,winner group B,85,3rd group E/F/G/I/J
32,runner-up group D,88,runner-up group G
32,winner group J,86,runner-up group H
32,winner group K,87,3rd group D/E/I/J/L
16,winner match 73,90,winner match 75
16,winner match 74,89,winner match 77
16,winner match 76,91,winner match 78
16,winner match 79,92,winner match 80
16,winner match 83,93,winner match 84
16,winner match 81,94,winner match 82
16,winner match 86,95,winner match 88
16,winner match 85,96,winner match 87
quarter,winner match 89,97,winner match 90
quarter,winner match 93,98,winner match 94
quarter,winner match 91,99,winner match 92
quarter,winner match 95,100,winner match 96
semi,winner match 97,101,winner match 98
semi,winner match 99,102,winner match 100
third,loser match 101,103,loser match 102
final,winner match 101,104,winner match 102
