group,team_1,score_1,team_2,score_2
A,brazil,3,croatia,1
A,mexico,1,cameroon,0
A,brazil,0,mexico,0
A,cameroon,0,croatia,4
A,cameroon,1,brazil,4
A,croatia,1,mexico,3
B,spain,1,netherlands,5
B,chile,3,australia,1
B,australia,2,netherlands,3
B,spain,0,chile,2
B,australia,0,spain,3
B,netherlands,2,chile,0
C,colombia,3,greece,0
C,ivory_coast,2,japan,1
C,colombia,2,ivory_coast,1
C,japan,0,greece,0
C,japan,1,colombia,4
C,greece,2,ivory_coast,1
D,uruguay,1,costa_rica,3
D,england,1,italy,2
D,uruguay,2,england,1
D,italy,0,costa_rica,1
D,italy,0,uruguay,1
D,costa_rica,0,england,0
E,switzerland,2,ecuador,1
E,france,3,honduras,0
E,switzerland,2,france,5
E,honduras,1,ecuador,2
E,honduras,0,switzerland,3
E,ecuador,0,france,0
F,argentina,2,bosnia_and_herzegovina,1
F,iran,0,nigeria,0
F,argentina,1,iran,0
F,nigeria,1,bosnia_and_herzegovina,0
F,nigeria,2,argentina,3
F,bosnia_and_herzegovina,3,iran,1
G,germany,4,portugal,0
G,ghana,1,united_states,2
G,germany,2,ghana,2
G,united_states,2,portugal,2
G,united_states,0,germany,1
G,portugal,2,ghana,1
H,belgium,2,algeria,1
H,russia,1,south_korea,1
H,belgium,1,russia,0
H,south_korea,2,algeria,4
H,south_korea,0,belgium,1
H,algeria,1,russia,1
