group,team_1,score_1,team_2,score_2
A,russia,5,saudi_arabia,0
A,egypt,0,uruguay,1
A,russia,3,egypt,1
A,uruguay,1,saudi_arabia,0
A,uruguay,3,russia,0
A,saudi_arabia,2,egypt,1
B,morocco,0,iran,1
B,portugal,3,spain,3
B,portugal,1,morocco,0
B,iran,0,spain,1
B,iran,1,portugal,1
B,spain,2,morocco,2
C,france,2,australia,1
C,peru,0,denmark,1
C,denmark,1,australia,1
C,france,1,peru,0
C,denmark,0,france,0
C,australia,0,peru,2
D,argentina,1,iceland,1
D,croatia,2,nigeria,0
D,argentina,0,croatia,3
D,nigeria,2,iceland,0
D,nigeria,1,argentina,2
D,iceland,1,croatia,2
E,costa_rica,0,serbia,1
E,brazil,1,switzerland,1
E,brazil,2,costa_rica,0
E,serbia,1,switzerland,2
E,serbia,0,brazil,2
E,switzerland,2,costa_rica,2
F,germany,0,mexico,1
F,sweden,1,south_korea,0
F,south_korea,1,mexico,2
F,germany,2,sweden,1
F,south_korea,2,germany,0
F,mexico,0,sweden,3
G,belgium,3,panama,0
G,tunisia,1,england,2
G,belgium,5,tunisia,2
G,england,6,panama,1
G,england,0,belgium,1
G,panama,1,tunisia,2
H,colombia,1,japan,2
H,poland,1,senegal,2
H,japan,2,senegal,2
H,poland,0,colombia,3
H,japan,0,poland,1
H,senegal,0,colombia,1
