params,feats,avg_loss,avg_acc
"{""iterations"": 200, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9417491503356992,0.578125
"{""iterations"": 100, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 4}","['att_diff', 'mid_diff', 'def_diff']",0.9418470123644912,0.58125
"{""iterations"": 75, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 4}","['att_diff', 'mid_diff', 'def_diff']",0.9418529121434247,0.58125
"{""iterations"": 200, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9419046133607276,0.590625
"{""iterations"": 200, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 4}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.941907000443073,0.578125
"{""iterations"": 200, ""depth"": 1, ""learning_rate"": 0.03, ""l2_leaf_reg"": 4}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9419266983277714,0.578125
"{""iterations"": 75, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9419497763942621,0.578125
"{""iterations"": 50, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 4}","['att_diff', 'mid_diff', 'def_diff', 'fifa_rank_diff']",0.9420603912074406,0.58125
"{""iterations"": 75, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff']",0.9420838804251186,0.58125
"{""iterations"": 75, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9421135716271583,0.578125
"{""iterations"": 50, ""depth"": 5, ""learning_rate"": 0.1, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9421718510515051,0.578125
"{""iterations"": 50, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff']",0.942198345757643,0.565625
"{""iterations"": 100, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff']",0.9422629475322388,0.58125
"{""iterations"": 50, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9423094509666795,0.571875
"{""iterations"": 50, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'fifa_rank_diff']",0.9423909721502637,0.578125
"{""iterations"": 200, ""depth"": 1, ""learning_rate"": 0.03, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9423928631888879,0.571875
"{""iterations"": 200, ""depth"": 3, ""learning_rate"": 0.05, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9424044316744367,0.584375
"{""iterations"": 50, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff']",0.9424234640445969,0.565625
"{""iterations"": 50, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 4}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9424478314016337,0.571875
"{""iterations"": 200, ""depth"": 3, ""learning_rate"": 0.05, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9425791262805878,0.584375
"{""iterations"": 200, ""depth"": 1, ""learning_rate"": 0.03, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff']",0.9425923769340636,0.58125
"{""iterations"": 50, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 4}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff']",0.9425954680679721,0.571875
"{""iterations"": 50, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'fifa_rank_diff']",0.9426164366716119,0.578125
"{""iterations"": 200, ""depth"": 1, ""learning_rate"": 0.03, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff']",0.9426433154821053,0.58125
"{""iterations"": 50, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'fifa_rank_diff']",0.9426884312068813,0.575
"{""iterations"": 50, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff']",0.9426920791434175,0.56875
"{""iterations"": 200, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 4}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9427476806442462,0.5875
"{""iterations"": 50, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 4}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'fifa_rank_diff']",0.942749597180257,0.575
"{""iterations"": 50, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9427907408698311,0.578125
"{""iterations"": 100, ""depth"": 5, ""learning_rate"": 0.05, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9428016093094609,0.578125
"{""iterations"": 200, ""depth"": 1, ""learning_rate"": 0.03, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9428352751672872,0.571875
"{""iterations"": 200, ""depth"": 1, ""learning_rate"": 0.03, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.942842020727111,0.575
"{""iterations"": 75, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 4}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9428699523415771,0.578125
"{""iterations"": 200, ""depth"": 1, ""learning_rate"": 0.03, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff']",0.9428826877047826,0.58125
"{""iterations"": 75, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9429040923014718,0.575
"{""iterations"": 50, ""depth"": 5, ""learning_rate"": 0.1, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9429499682833742,0.584375
"{""iterations"": 50, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9429545166044683,0.571875
"{""iterations"": 75, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff']",0.9429961897045681,0.578125
"{""iterations"": 50, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff', 'fifa_rank_diff']",0.9430121664790038,0.578125
"{""iterations"": 75, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff']",0.9430339048062855,0.578125
"{""iterations"": 200, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.943035459950295,0.584375
"{""iterations"": 75, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9430898437158813,0.578125
"{""iterations"": 75, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9431597761865795,0.578125
"{""iterations"": 100, ""depth"": 5, ""learning_rate"": 0.05, ""l2_leaf_reg"": 10}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9432021100848557,0.571875
"{""iterations"": 50, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'fifa_rank_diff']",0.9432161640716865,0.578125
"{""iterations"": 50, ""depth"": 2, ""learning_rate"": 0.1, ""l2_leaf_reg"": 7}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9432237696894425,0.578125
"{""iterations"": 200, ""depth"": 3, ""learning_rate"": 0.1, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9432844373623326,0.5875
"{""iterations"": 75, ""depth"": 3, ""learning_rate"": 0.1, ""l2_leaf_reg"": 4}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9434042348380011,0.584375
"{""iterations"": 100, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 4}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9434328177452678,0.571875
"{""iterations"": 200, ""depth"": 2, ""learning_rate"": 0.03, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9434374320095872,0.584375
"{""iterations"": 200, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.943460318070357,0.575
"{""iterations"": 75, ""depth"": 1, ""learning_rate"": 0.05, ""l2_leaf_reg"": 4}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9434650388642611,0.571875
"{""iterations"": 50, ""depth"": 1, ""learning_rate"": 0.1, ""l2_leaf_reg"": 4}","['att_diff', 'mid_diff', 'def_diff']",0.9434837340382589,0.578125
"{""iterations"": 200, ""depth"": 3, ""learning_rate"": 0.05, ""l2_leaf_reg"": 4}","['att_diff', 'mid_diff', 'def_diff', 'titles_diff']",0.9435363779122984,0.5875
"{""iterations"": 50, ""depth"": 2, ""learning_rate"": 0.1, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff']",0.9435401307494,0.58125
"{""iterations"": 200, ""depth"": 5, ""learning_rate"": 0.03, ""l2_leaf_reg"": 12}","['att_diff', 'mid_diff', 'def_diff', 'elo_rating_diff', 'titles_diff']",0.9435492239470843,0.571875
