nation,id,att,mid,def,fifa_rank,titles,elo_rating
Australia,australia,69,71,69,27,0,1777
Iran,iran,73,72,72,20,0,1772
Iraq,iraq,63,66,64,57,0,1607
Japan,japan,78,78,77,18,0,1906
Jordan,jordan,66,67,66,63,0,1680
Qatar,qatar,71,68,66,56,0,1421
Saudi Arabia,saudi_arabia,74,74,71,61,0,1576
South Korea,south_korea,77,74,75,25,0,1758
Uzbekistan,uzbekistan,70,67,71,50,0,1714
Algeria,algeria,75,76,76,28,0,1772
Cape Verde,cape_verde,69,69,71,67,0,1578
DR Congo,dr_congo,78,71,75,134,0,1652
Egypt,egypt,78,73,70,29,0,1696
Ghana,ghana,78,75,73,73,0,1510
Ivory Coast,ivory_coast,80,78,78,33,0,1695
Morocco,morocco,80,79,79,7,0,1827
Senegal,senegal,79,80,77,15,0,1860
South Africa,south_africa,70,69,70,60,0,1517
Tunisia,tunisia,70,72,72,45,0,1628
Canada,canada,77,73,74,30,0,1788
Curaçao,curacao,66,69,69,82,0,1434
Haiti,haiti,70,69,69,83,0,1548
Mexico,mexico,78,75,75,14,0,1875
Panama,panama,70,70,69,34,0,1730
United States,united_states,77,79,77,17,0,1726
Argentina,argentina,84,83,79,1,3,2115
Brazil,brazil,86,81,83,6,5,1991
Colombia,colombia,79,79,78,13,0,1982
Ecuador,ecuador,73,76,78,23,0,1938
Paraguay,paraguay,75,75,76,41,0,1834
Uruguay,uruguay,78,79,79,16,2,1892
New Zealand,new_zealand,74,69,69,85,0,1562
Austria,austria,77,78,79,24,0,1830
Belgium,belgium,82,82,78,9,0,1894
Bosnia and Herzegovina,bosnia_and_herzegovina,76,70,72,64,0,1595
Croatia,croatia,78,81,77,11,0,1912
Czech Republic,czech_republic,78,75,75,40,0,1740
England,england,86,85,83,4,1,2024
France,france,87,85,85,3,2,2063
Germany,germany,82,84,84,10,4,1932
Netherlands,netherlands,80,83,83,8,0,1948
Norway,norway,80,81,75,31,0,1914
Portugal,portugal,84,86,84,5,0,1989
Scotland,scotland,77,77,75,42,0,1782
Spain,spain,85,86,83,2,1,2157
Sweden,sweden,86,77,75,38,0,1712
Switzerland,switzerland,77,79,76,19,0,1891
Turkey,turkey,79,80,78,22,0,1911
